,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,construction_year,propriety
0,25141.76,1,3.0,5.00451,49.44561,hub,large,0.0393019465485231,2030,1
1,18565.12,1,3.0,4.89524472,44.03162786,hub,large,0.0683231985971832,2030,1
2,16916.48,1,3.0,-1.55755586,47.20602008,hub,large,0.0947672738229892,2030,1
3,11450.88,1,2.8627,2.6920610000000003,50.4785714,hub,large,0.1126674476252033,2030,0
4,10805.76,1,2.7014,1.6561556,48.3304943,hub,large,0.1295591609315179,2030,0
5,9390.08,1,2.3475,1.0608253250000002,49.3623212,hub,large,0.1442378637051645,2030,1
6,9372.16,1,2.343,1.9740938,48.77210695,hub,large,0.1588885536872583,2030,0
7,9175.04,1,2.2938,3.0965415666666667,50.308296866666666,hub,large,0.1732311029622718,2030,0
8,8960.0,1,2.24,6.0243622,47.2380222,hub,large,0.1872374987386521,2030,1
9,8917.440862006468,1,2.229360215501617,2.697542033123256,49.396722416100616,road,large,0.201177365482595,2030,0
10,8917.440862006468,1,2.229360215501617,2.871694551830265,50.10113427032396,road,large,0.2151172322265379,2030,1
11,8917.440862006468,1,2.229360215501617,2.900111614837857,50.31465862370554,road,large,0.2290570989704808,2030,0
12,8171.52,1,2.0429,2.47657425,49.26489755,hub,large,0.2418309319185397,2030,1
13,8064.0,1,2.016,-0.3864208157082929,47.4972822875,hub,large,0.254436688117282,2031,1
14,7490.559999999999,1,1.8726,-1.0490777295677982,47.2574172,hub,large,0.2661460349863359,2031,1
15,7383.04,1,1.8458,7.4133351,48.7692184,hub,large,0.2776873051060733,2031,0
16,7365.12,1,1.8413,5.079057233333334,47.3011305,hub,large,0.2892005624342579,2031,0
17,7239.679999999999,1,1.8099,4.9287265,43.3973905,hub,large,0.3005177302215732,2031,0
18,7185.92,1,1.7965,-0.2057893552874009,46.98320275,hub,large,0.3117508596342302,2031,1
19,7114.24,1,1.7786000000000002,-0.5957869999999998,48.5500968,hub,large,0.3228719378806762,2031,0
20,6952.96,1,1.7382,6.158619,49.227184533333336,hub,large,0.3337409010031473,2031,1
21,6218.24,1,1.5546,2.3462084,49.88572855,hub,large,0.3434613396719553,2031,0
22,5806.08,1,1.4515,3.4900652,49.4723325,hub,large,0.3525374841350497,2031,0
23,5555.2,1,1.3888,7.3579641,48.0777517,hub,large,0.3612214495164055,2031,1
24,5501.4400000000005,1,1.3754,3.30819445,49.81625,hub,large,0.369821376523103,2031,1
25,5393.92,1,1.3485,-0.7734022,48.0706687,hub,large,0.378253226780484,2031,0
26,5304.32,1,1.3261,4.9473513,48.6371125,hub,large,0.3865450130801012,2032,1
27,5263.923020878167,1,1.315980755219542,5.967752745953975,45.53691896100016,road,large,0.3947736502638979,2032,1
28,5263.923020878167,1,1.315980755219542,6.215159830563675,45.56495265441731,road,large,0.4030022874476947,2032,0
29,5196.8,1,1.2992,1.19692,45.18516,hub,large,0.4111259969979953,2032,0
30,5165.115336363348,1,1.291278834090837,4.8718378468145085,45.06691865267444,road,large,0.4192001766443967,2032,0
31,5165.115336363348,1,1.291278834090837,4.797245451617696,44.6710621306595,road,large,0.4272743562907981,2032,1
32,5165.115336363348,1,1.291278834090837,4.922717622461537,43.88658602401537,road,large,0.4353485359371994,2032,1
33,5165.115336363348,1,1.291278834090837,5.229410711910947,43.55796565488035,road,large,0.4434227155836008,2032,1
34,5017.599999999999,1,1.2544,1.8226483,48.99262965,hub,large,0.4512662972183738,2032,1
35,4940.7075726796165,1,1.235176893169904,5.570934439353717,46.85249787588068,road,large,0.4589896795485423,2032,0
36,4940.7075726796165,1,1.235176893169904,5.259852652232238,46.2505864195335,road,large,0.4667130618787108,2032,1
37,4895.888092983353,1,1.2239720232458382,4.179336408152805,43.726224271926846,road,large,0.4743663817790672,2032,0
38,4895.888092983353,1,1.2239720232458382,3.295225920469808,43.338968764234544,road,large,0.4820197016794235,2032,1
39,4895.888092983353,1,1.2239720232458382,2.8950283531836454,42.78275379534364,road,large,0.4896730215797798,2033,0
40,4895.888092983353,1,1.2239720232458382,2.8569308097380333,42.47539934548716,road,large,0.4973263414801361,2033,1
41,4820.48,1,1.2051,0.534411,49.5188282,hub,large,0.5048617824078288,2033,1
42,4797.222221021053,1,1.1993055552552632,1.9450172595926865,43.28841170379598,road,large,0.5123608664541308,2033,1
43,4797.222221021053,1,1.1993055552552632,2.741948745288952,43.16890067197148,road,large,0.519859950500433,2033,1
44,4748.8,1,1.1872,4.854519275,46.8416993,hub,large,0.5272833402619146,2033,1
45,4605.44,1,1.1514,3.4515087,50.373341825,hub,large,0.5344826276909741,2033,0
