,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,construction_year,propriety
0,4390.4,1,1.0976,-1.7236873,47.227907575,hub,large,0.03588579320157772,2024,1
1,3440.6399999999994,1,0.8602,4.8068959,43.51376845,hub,large,0.06400853726158964,2024,0
2,3269.8738453607893,1,0.8174684613401973,2.871694551830265,50.10113427032396,road,large,0.09073549075326807,2024,0
3,3269.8738453607893,1,0.8174684613401973,2.900111614837857,50.31465862370554,road,large,0.11746244424494652,2024,1
4,2525.2798881055114,1,0.6313199720263779,4.797245451617696,44.6710621306595,road,large,0.1381033133777494,2024,0
5,2525.2798881055114,1,0.6313199720263779,5.229410711910947,43.55796565488035,road,large,0.15874418251055228,2024,0
6,2472.96,1,0.6182,3.1071152,50.70652168,hub,large,0.17895740480368583,2024,1
7,1953.28,1,0.9766,1.8226483,48.99262965,hub,medium,0.1949229209627551,2024,0
8,1899.52,1,0.9498,0.1967848999999999,48.0073849,hub,medium,0.2104490192458867,2024,0
9,1833.44849278428,1,0.9167242463921398,3.659101216100502,47.796680223375965,road,medium,0.22543506914061176,2024,0
10,1833.44849278428,1,0.9167242463921398,4.859624150499589,47.00049723958791,road,medium,0.24042111903533683,2025,1
11,1756.16,1,0.8781,2.7442236,49.0859622,hub,medium,0.25477543631596794,2025,0
12,1738.24,1,0.8691,-0.500972,43.8911318,hub,medium,0.26898328097128643,2025,0
13,1727.7398603371616,1,0.8638699301685808,5.287071457819081,47.93015943864478,road,medium,0.28310530068114936,2025,1
14,1727.7398603371616,1,0.8638699301685808,6.106938436318125,49.36241531782738,road,medium,0.2972273203910123,2025,0
15,1684.48,1,0.8422,2.133125958056288,47.929667775,hub,medium,0.31099574717039313,2025,0
16,1648.64,1,0.8243,1.12658455,49.2721432,hub,medium,0.32447122869914885,2025,1
17,1610.436274044585,1,0.8052181370222925,5.319601368458224,47.07060581767057,road,medium,0.33763444460081693,2025,1
18,1610.436274044585,1,0.8052181370222925,5.170233439193096,47.0324649998648,road,medium,0.35079766050248495,2025,0
19,990.2720041997802,1,0.9902720041997802,0.6227616634793093,44.14766528731921,road,small,0.3588918424348887,2025,0
20,990.2720041997802,1,0.9902720041997802,1.401982162269939,43.71629670670593,road,small,0.3669860243672924,2026,0
21,976.78628886874,1,0.97678628886874,0.1601671345671602,46.2114804408092,road,small,0.37496997816751104,2026,1
22,976.78628886874,1,0.97678628886874,-0.2734496792394273,45.24043326446728,road,small,0.38295393196772975,2026,0
23,967.68,1,0.9677,2.303717033333333,48.72079506666667,hub,small,0.3908634537346081,2026,1
24,967.68,1,0.9677,-0.2449274,44.5530659,hub,small,0.39877297550148644,2026,0
25,931.84,1,0.9318,-4.400979,48.4346366,hub,small,0.4063895520177397,2026,0
26,917.8053469550974,1,0.9178053469550974,2.1194176536925013,47.20800802246639,road,small,0.41389141355202647,2026,1
27,917.8053469550974,1,0.9178053469550974,3.160583961957347,45.8433306210893,road,small,0.4213932750863133,2026,0
28,913.92,1,0.9139,2.1089221,49.33314875,hub,small,0.4288633789772539,2026,1
29,913.92,1,0.9139,2.6073963,46.3400296,hub,small,0.43633348286819457,2026,0
30,2393.651821980608,0,0.598412955495152,3.295225920469808,43.338968764234544,road,large,0.45589846425489644,2027,0
31,2393.651821980608,0,0.598412955495152,2.8569308097380333,42.47539934548716,road,large,0.4754634456415983,2027,1
32,2060.8,0,0.5152,1.51228,47.70764916666666,hub,large,0.492307797552543,2027,0
33,1594.88,0,0.7974,2.8016229,50.2993922,hub,medium,0.505343861205361,2027,1
34,1576.9599999999998,0,0.7885,1.4266178,48.5802573,hub,medium,0.5182334522328664,2027,1
35,1542.5219438427473,0,0.7712609719213737,7.366670364166511,43.74520979912986,road,medium,0.5308415570719782,2027,1
36,1542.5219438427473,0,0.7712609719213737,7.483722004254011,43.79715090031751,road,medium,0.5434496619110901,2027,1
37,1523.1999999999998,0,0.7615999999999999,-0.8075022431892661,47.26248486666667,hub,medium,0.5558998350626578,2027,0
38,1469.44,0,0.7347,4.8322266,46.3036683,hub,medium,0.567910590338288,2027,1
39,1469.4399999999998,0,0.7347,7.43372735,47.9333166,hub,medium,0.5799213456139181,2027,1
40,1417.8147846382751,0,0.7089073923191376,1.506053020112609,47.73070989708539,road,medium,0.5915101320934345,2028,1
41,1417.8147846382751,0,0.7089073923191376,0.3479900372412308,46.62314981719808,road,medium,0.6030989185729508,2028,1
42,1344.0,0,0.672,2.88698995,50.4615291,hub,medium,0.614084365471393,2028,1
43,1299.5044207304531,0,0.6497522103652266,4.322751294974057,49.04271719901225,road,medium,0.6247061190489416,2028,1
44,1299.5044207304531,0,0.6497522103652266,6.464241184101785,49.14055474089337,road,medium,0.6353278726264902,2028,0
45,1272.3200000000002,0,0.6362,1.9492851333333328,46.92184236666667,hub,medium,0.6457274290236822,2028,1
46,1272.32,0,0.6362,5.10632506,45.69666528,hub,medium,0.6561269854208741,2028,1
47,1118.2224543991488,0,0.5591112271995744,2.403069684487531,51.01843747503984,road,medium,0.6652669953862368,2028,0
48,1064.8294115419674,0,0.5324147057709837,1.3041355241746295,45.781268536901656,road,medium,0.6739705868716488,2028,0
49,1064.8294115419674,0,0.5324147057709837,1.5730757121210202,44.698371084124005,road,medium,0.6826741783570608,2028,1
50,1021.44,0,0.5107,2.71844838,48.82276774,hub,medium,0.6910231179998769,2029,0
51,890.9964488449847,0,0.8909964488449846,0.1314132909311033,48.02267640035102,road,small,0.6983058517614001,2029,0
