,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station
13,8917.440862006468,1,2.229360215501617,2.697542033123256,49.396722416100616,road,large
22,8917.440862006468,1,2.229360215501617,2.871694551830265,50.10113427032396,road,large
25,8917.440862006468,1,2.229360215501617,2.900111614837857,50.31465862370554,road,large
36,1771.9726157357563,1,0.8859863078678781,3.586493292809604,49.12840754427884,road,medium
47,1771.9726157357563,1,0.8859863078678781,4.322751294974057,49.04271719901225,road,medium
54,1771.9726157357563,1,0.8859863078678781,5.277878256786503,49.09633294761527,road,medium
62,1771.9726157357563,1,0.8859863078678781,6.464241184101785,49.14055474089337,road,medium
70,1771.9726157357563,1,0.8859863078678781,7.121080645959903,48.91572386058876,road,medium
80,1771.9726157357563,1,0.8859863078678781,7.72398072202093,48.63302772599377,road,medium
89,1256.847007237924,0,0.6284235036189619,3.146519206035424,48.365854342881136,road,medium
94,1256.847007237924,0,0.6284235036189619,4.128759116781822,48.22112395156409,road,medium
103,1256.847007237924,0,0.6284235036189619,4.882287262402821,48.07760579499946,road,medium
104,1256.847007237924,0,0.6284235036189619,5.061185958249656,48.03963794650407,road,medium
115,2500.045763406925,1,0.6250114408517312,2.7750017326875143,48.21621365633597,road,large
132,2500.045763406925,1,0.6250114408517312,3.659101216100502,47.796680223375965,road,large
136,2500.045763406925,1,0.6250114408517312,4.116414390797281,47.49714450635409,road,large
146,2500.045763406925,1,0.6250114408517312,4.859624150499589,47.00049723958791,road,large
153,2500.045763406925,1,0.6250114408517312,4.82697842513357,46.35098160389453,road,large
158,2500.045763406925,1,0.6250114408517312,4.73603189493353,45.978836672539536,road,large
170,5165.1153363633475,1,1.291278834090837,4.8718378468145085,45.06691865267444,road,large
176,5165.1153363633475,1,1.291278834090837,4.797245451617696,44.6710621306595,road,large
190,5165.1153363633475,1,1.291278834090837,4.922717622461537,43.88658602401537,road,large
198,5165.1153363633475,1,1.291278834090837,5.229410711910947,43.55796565488035,road,large
