,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,property,nearby_total_station,new_h2_demand,new_profitability_threshold,new_profitability
92,na,na,na,2.4418895,48.5957889,na,na,na,total,na,na,na,na
93,na,na,na,0.1501597,49.4878147,na,na,na,total,na,na,na,na
95,na,na,na,3.3133708,43.8640675,na,na,na,total,na,na,na,na
96,na,na,na,-1.5413924,47.9732284,na,na,na,total,na,na,na,na
98,na,na,na,2.2478603,48.6032163,na,na,na,total,na,na,na,na
99,na,na,na,-2.643809,47.6311617,na,na,na,total,na,na,na,na
101,na,na,na,-1.098699,48.0901964,na,na,na,total,na,na,na,na
102,na,na,na,2.056602,47.88643,na,na,na,total,na,na,na,na
103,na,na,na,0.452189,49.482777,na,na,na,total,na,na,na,na
104,na,na,na,2.9527247,50.6110843,na,na,na,total,na,na,na,na
105,na,na,na,2.7363436,47.91805249999999,na,na,na,total,na,na,na,na
116,na,na,na,1.6188692,50.6888716,na,na,na,total,na,na,na,na
122,na,na,na,6.331231,43.39324,na,na,na,total,na,na,na,na
123,na,na,na,0.319564,49.3205625,na,na,na,total,na,na,na,na
125,na,na,na,2.3831304,48.745943,na,na,na,total,na,na,na,na
131,na,na,na,5.221011,46.249084,na,na,na,total,na,na,na,na
132,na,na,na,2.9756818,50.4580055,na,na,na,total,na,na,na,na
134,na,na,na,3.136198,50.753855,na,na,na,total,na,na,na,na
136,na,na,na,5.0470842,47.36375659999999,na,na,na,total,na,na,na,na
143,na,na,na,6.583306700000001,48.0416894,na,na,na,total,na,na,na,na
146,na,na,na,7.296435,47.9749387,na,na,na,total,na,na,na,na
147,na,na,na,3.2947089,46.2944948,na,na,na,total,na,na,na,na
149,na,na,na,3.0265532,46.3754965,na,na,na,total,na,na,na,na
153,na,na,na,6.123497299999999,47.3262873,na,na,na,total,na,na,na,na
154,na,na,na,-4.4536046,48.3924444,na,na,na,total,na,na,na,na
155,na,na,na,4.8350396,45.6508009,na,na,na,total,na,na,na,na
156,na,na,na,7.552226999999999,47.5985689,na,na,na,total,na,na,na,na
158,na,na,na,5.624406400000001,45.305296,na,na,na,total,na,na,na,na
162,na,na,na,5.3344594,46.0550728,na,na,na,total,na,na,na,na
167,na,na,na,0.7790026,49.6239874,na,na,na,total,na,na,na,na
169,na,na,na,6.0891651,48.8568108,na,na,na,total,na,na,na,na
171,na,na,na,6.4187162,48.5905919,na,na,na,total,na,na,na,na
172,na,na,na,5.6240475,45.27858029999999,na,na,na,total,na,na,na,na
173,na,na,na,-0.6234109999999999,47.4695081,na,na,na,total,na,na,na,na
175,na,na,na,2.8373509,50.2741645,na,na,na,total,na,na,na,na
183,na,na,na,0.608375,44.171244,na,na,na,total,na,na,na,na
185,na,na,na,3.1316376,50.6136476,na,na,na,total,na,na,na,na
187,na,na,na,7.3935013,47.8009882,na,na,na,total,na,na,na,na
190,na,na,na,4.826238099999999,45.5889132,na,na,na,total,na,na,na,na
194,na,na,na,4.8850774,46.4463275,na,na,na,total,na,na,na,na
198,na,na,na,1.999847,46.5826047,na,na,na,total,na,na,na,na
200,na,na,na,3.0540307,50.550726,na,na,na,total,na,na,na,na
209,na,na,na,3.3918198,46.3215926,na,na,na,total,na,na,na,na
212,na,na,na,4.870923299999999,45.0062213,na,na,na,total,na,na,na,na
213,na,na,na,3.074016,50.5403372,na,na,na,total,na,na,na,na
214,na,na,na,7.4602001,48.6345576,na,na,na,total,na,na,na,na
222,na,na,na,3.4678494,50.34062549999999,na,na,na,total,na,na,na,na
223,na,na,na,5.2962621,46.202994,na,na,na,total,na,na,na,na
225,na,na,na,-1.5373537,47.1549442,na,na,na,total,na,na,na,na
233,na,na,na,1.7050161,43.7590279,na,na,na,total,na,na,na,na
234,na,na,na,4.9124913,47.09618649999999,na,na,na,total,na,na,na,na
236,na,na,na,4.8725709,48.647244,na,na,na,total,na,na,na,na
237,na,na,na,4.881397,44.973073,na,na,na,total,na,na,na,na
241,na,na,na,2.4247239,44.9097055,na,na,na,total,na,na,na,na
244,na,na,na,2.2126219,48.9516643,na,na,na,total,na,na,na,na
245,na,na,na,4.904867100000001,46.5704609,na,na,na,total,na,na,na,na
247,na,na,na,4.9996751,45.7025869,na,na,na,total,na,na,na,na
248,na,na,na,7.2422396,48.7693208,na,na,na,total,na,na,na,na
249,na,na,na,1.9221433,50.9139061,na,na,na,total,na,na,na,na
251,na,na,na,3.6789388,49.3107677,na,na,na,total,na,na,na,na
260,na,na,na,7.676082999999999,48.479709,na,na,na,total,na,na,na,na
263,na,na,na,3.2052684,50.5184703,na,na,na,total,na,na,na,na
266,na,na,na,5.0713989,45.8450944,na,na,na,total,na,na,na,na
270,na,na,na,3.3610108,48.5353115,na,na,na,total,na,na,na,na
273,na,na,na,2.3893198,48.7502905,na,na,na,total,na,na,na,na
276,na,na,na,3.9566003,49.0464276,na,na,na,total,na,na,na,na
278,na,na,na,2.6213908,48.9084896,na,na,na,total,na,na,na,na
280,na,na,na,1.2946295,45.8979718,na,na,na,total,na,na,na,na
281,na,na,na,4.8740859,44.02721560000001,na,na,na,total,na,na,na,na
282,na,na,na,6.314658,43.394547,na,na,na,total,na,na,na,na
