,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station
22,3269.8738453607893,1,0.8174684613401973,2.871694551830265,50.10113427032396,road,large
25,3269.8738453607893,1,0.8174684613401973,2.900111614837857,50.31465862370554,road,large
46,1299.5044207304531,0,0.6497522103652266,4.322751294974057,49.04271719901225,road,medium
61,1299.5044207304531,0,0.6497522103652266,6.464241184101785,49.14055474089337,road,medium
93,614.4858852345014,0,0.6144858852345014,4.18006986333003,48.22918530744294,road,small
102,614.4858852345014,0,0.6144858852345014,5.061185958249656,48.03963794650407,road,small
130,1833.4484927842796,1,0.9167242463921398,3.659101216100502,47.796680223375965,road,medium
144,1833.4484927842796,1,0.9167242463921398,4.859624150499589,47.00049723958791,road,medium
174,2525.2798881055114,1,0.6313199720263779,4.797245451617696,44.6710621306595,road,large
196,2525.2798881055114,1,0.6313199720263779,5.229410711910947,43.55796565488035,road,large
224,1542.5219438427473,0,0.7712609719213737,7.366670364166511,43.74520979912986,road,medium
229,1542.5219438427473,0,0.7712609719213737,7.483722004254011,43.79715090031751,road,medium
247,2393.651821980608,0,0.598412955495152,3.295225920469808,43.338968764234544,road,large
261,2393.651821980608,0,0.598412955495152,2.8569308097380333,42.47539934548716,road,large
280,1417.8147846382751,0,0.7089073923191376,1.506053020112609,47.73070989708539,road,medium
297,1417.8147846382751,0,0.7089073923191376,0.3479900372412308,46.62314981719808,road,medium
330,890.9964488449847,0,0.8909964488449846,0.1314132909311033,48.02267640035102,road,small
341,890.9964488449847,0,0.8909964488449846,-1.202757788162948,47.39887443178217,road,small
362,1118.2224543991488,0,0.5591112271995744,2.403069684487531,51.01843747503984,road,medium
394,1064.8294115419674,0,0.5324147057709837,1.3041355241746295,45.781268536901656,road,medium
417,1064.8294115419674,0,0.5324147057709837,1.5730757121210202,44.698371084124005,road,medium
442,871.6058459928915,0,0.8716058459928916,3.1772109392932224,50.06911016213508,road,small
458,871.6058459928915,0,0.8716058459928916,4.222623702628568,48.72880255270012,road,small
480,556.8307536711746,0,0.5568307536711746,0.1372591177411941,48.31368299170269,road,small
490,556.8307536711746,0,0.5568307536711746,0.4431726641926086,49.034479224056746,road,small
505,462.1460760586699,0,0.4621460760586699,2.239440433788444,49.84777227187714,road,small
507,462.1460760586699,0,0.4621460760586699,2.5190615190981727,49.85393503436813,road,small
532,1727.7398603371616,1,0.8638699301685808,5.287071457819081,47.93015943864478,road,medium
566,1727.7398603371616,1,0.8638699301685808,6.106938436318125,49.36241531782738,road,medium
591,1610.436274044585,1,0.8052181370222925,5.319601368458224,47.07060581767057,road,medium
592,1610.436274044585,1,0.8052181370222925,5.170233439193096,47.0324649998648,road,medium
616,793.8944726594476,0,0.7938944726594476,5.320898732225743,46.071392555176445,road,small
625,793.8944726594476,0,0.7938944726594476,4.852805556401998,46.33856967630998,road,small
