,dateReferentiel,route,longueur,prD,depPrD,concessionPrD,absD,cumulD,xD,yD,zD,prF,depPrF,concessionPrF,absF,cumulF,xF,yF,zF,anneeMesureTrafic,typeComptageTrafic,TMJA,ratioPL,lonD,latD,lonF,latF
35,2018-01-01,A0001,4322,165,62,C,984,165979,690643.76,7019125.54,0,170,62,C,306,170301,692273.23,7023135.59,0,2018,1.0,47013,26.07,2.868927013948823,50.269978687088866,2.891677409384869,50.30600574692215
36,2018-01-01,A0001,1122,170,62,C,306,170301,692273.23,7023135.59,0,171,62,C,428,171423,692876.07,7024098.54,0,2018,1.0,48354,25.75,2.891677409384869,50.30600574692215,2.900111614837857,50.31465862370554
37,2018-01-01,A0001,2638,171,62,C,428,171423,692876.07,7024098.54,0,174,62,C,66,174061,694420.66,7026227.86,0,2018,1.0,48354,25.75,2.900111614837857,50.31465862370554,2.921739520007302,50.333791773165544
42,2018-01-01,A0002,3533,0,80,C,0,0,691468.61,6990871.19,0,3,80,C,533,3533,693370.6,6993152.82,0,2018,1.0,23500,23.25,2.881078567877962,50.01625521375859,2.907553675684137,50.036771136493115
43,2018-01-01,A0002,1122,3,80,C,533,3533,693370.6,6993152.82,0,4,62,C,655,4655,694311.12,6993756.09,0,2018,1.0,23500,23.25,2.907553675684137,50.036771136493115,2.920660671392374,50.042198664794256
44,2018-01-01,A0002,382,4,62,C,655,4655,694311.12,6993756.09,0,5,80,C,37,5037,694644.11,6993988.07,0,2018,1.0,23500,23.25,2.920660671392374,50.042198664794256,2.925301615752705,50.04428512744227
45,2018-01-01,A0002,18563,5,80,C,37,5037,694644.11,6993988.07,0,23,62,C,600,23600,709099.55,7005132.49,0,2018,1.0,23500,23.25,2.925301615752705,50.04428512744227,3.1271612952011067,50.14432994386106
46,2018-01-01,A0002,39,23,62,C,600,23600,709099.55,7005132.49,0,23,62,C,639,23639,709125.65,7005156.86,0,2018,1.0,30575,22.34,3.1271612952011067,50.14432994386106,3.1275265779766945,50.144548417866176
47,2018-01-01,A0002,5675,23,62,C,639,23639,709125.65,7005156.86,0,29,59,C,314,29314,713256.58,7008857.81,0,2018,1.0,30575,22.34,3.1275265779766945,50.144548417866176,3.1853755801851915,50.17771012529747
48,2018-01-01,A0002,13367,29,59,C,314,29314,713256.58,7008857.81,0,43,59,N,0,42681,722957.28,7017335.1,0,2018,1.0,31128,22.41,3.1853755801851915,50.17771012529747,3.3215084098809537,50.253552413789905
53,2018-01-01,A0002,14422,64,59,N,30,63673,739544.2,7026627.58,0,78,59,N,456,78095,747571.15,7038120.55,0,2018,1.0,39648,13.0,3.5547104020725837,50.33615826883413,3.668669564105035,50.43877441677524
59,2018-01-01,A0003,6808,7,93,N,300,6893,661115.54,6866753.89,0,13,93,N,959,13701,661436.37,6873324.45,0,2018,1.0,169954,11.2,2.4696075384957443,48.89961374415279,2.4733858911622737,48.95871823664395
60,2018-01-01,A0003,1068,13,93,N,959,13701,661436.37,6873324.45,0,15,93,N,0,14769,661828.24,6874285.56,0,2018,1.0,169954,11.2,2.4733858911622737,48.95871823664395,2.47865034739312,48.96738404868081
61,2018-01-01,A0003,234,15,93,N,0,14769,661828.24,6874285.56,0,15,93,N,234,15003,662054.31,6874505.58,0,2018,1.0,169954,11.2,2.47865034739312,48.96738404868081,2.4817181973727287,48.96937587109726
66,2018-01-01,A0004,465,4,94,N,820,4844,659928.26,6857581.56,0,5,94,N,266,5309,660289.91,6857857.29,0,2018,1.0,226204,8.1,2.454277949716096,48.817054357702986,2.459177252730646,48.81955645897841
67,2018-01-01,A0004,744,5,94,N,266,5309,660289.91,6857857.29,0,6,94,N,5,6053,660644.54,6858469.45,0,2018,1.0,226204,8.1,2.459177252730646,48.81955645897841,2.4639503107477343,48.825083530474295
68,2018-01-01,A0004,591,6,94,N,5,6053,660644.54,6858469.45,0,6,94,N,596,6644,661159.54,6858749.04,0,2018,1.0,226204,8.1,2.4639503107477343,48.825083530474295,2.4709392548159643,48.82762919008094
69,2018-01-01,A0004,1123,6,94,N,596,6644,661159.54,6858749.04,0,7,94,N,720,7767,662253.98,6858982.53,0,2018,1.0,226204,8.1,2.4709392548159643,48.82762919008094,2.4858259030551197,48.829794040942524
84,2018-01-01,A0004,1948,34,77,C,0,34081,687531.86,6860650.79,0,35,77,C,948,36029,688592.33,6862280.8,0,2018,1.0,37195,7.95,2.830108686611669,48.84578191210153,2.8445149141776773,48.860460596958845
88,2018-01-01,A0004,13424,40,77,C,750,40831,692371.39,6865136.19,0,54,77,C,174,54255,703123.88,6872380.35,0,2018,1.0,29651,10.48,2.8959716723262505,48.8861951416901,3.042652492854777,48.95137729692359
89,2018-01-01,A0004,10605,54,77,C,174,54255,703123.88,6872380.35,0,64,77,C,779,64860,710998.76,6879163.55,0,2018,1.0,23159,11.8,3.042652492854777,48.95137729692359,3.150349852283613,49.01228642574415
90,2018-01-01,A0004,2996,64,77,C,779,64860,710998.76,6879163.55,0,67,77,C,775,67856,712935.31,6881400.97,0,2018,1.0,21362,12.45,3.150349852283613,49.01228642574415,3.176890361609111,49.03236879556037
91,2018-01-01,A0004,17935,67,77,C,775,67856,712935.31,6881400.97,0,85,2,C,710,85791,729329.88,6886806.08,0,2018,1.0,21362,12.45,3.176890361609111,49.03236879556037,3.4014591149786817,49.08042889743436
92,2018-01-01,A0004,14835,85,2,C,710,85791,729329.88,6886806.08,0,100,2,C,545,100626,742808.3,6892226.73,0,2018,1.0,21201,11.82,3.4014591149786817,49.08042889743436,3.5864932928096036,49.12840754427884
93,2018-01-01,A0004,8555,100,2,C,545,100626,742808.3,6892226.73,0,109,51,C,100,109181,750798.74,6894780.16,0,2018,1.0,21201,11.82,3.5864932928096036,49.12840754427884,3.6962692140575397,49.15078065211988
94,2018-01-01,A0004,1805,109,51,C,100,109181,750798.74,6894780.16,0,110,2,C,905,110986,752437.5,6895454.01,0,2018,1.0,21201,11.82,3.6962692140575397,49.15078065211988,3.718813612584206,49.156706758323544
95,2018-01-01,A0004,3210,110,2,C,905,110986,752437.5,6895454.01,0,114,2,C,115,114196,754533.15,6897821.37,0,2018,1.0,22249,11.54,3.718813612584206,49.156706758323544,3.747846451934716,49.17781474585988
96,2018-01-01,A0004,17935,114,2,C,115,114196,754533.15,6897821.37,0,132,51,C,50,132131,769245.07,6905740.74,0,2018,1.0,22249,11.54,3.747846451934716,49.17781474585988,3.9508903731404055,49.24758429029039
97,2018-01-01,A0004,1080,132,51,C,50,132131,769245.07,6905740.74,0,133,51,C,130,133211,770221.05,6905303.31,0,2018,1.0,11385,10.23,3.9508903731404055,49.24758429029039,3.9642181008903647,49.243545756552706
98,2018-01-01,A0004,3870,133,51,C,130,133211,770221.05,6905303.31,0,137,51,C,0,137081,772115.79,6902135.41,0,2018,1.0,26992,18.15,3.9642181008903647,49.243545756552706,3.989687260094564,49.21485779518844
99,2018-01-01,A0004,1730,137,51,C,0,137081,772115.79,6902135.41,0,138,51,C,730,138811,773617.57,6901284.74,0,2018,1.0,26992,18.15,3.989687260094564,49.21485779518844,4.010145504173553,49.207039784792336
100,2018-01-01,A0004,2570,138,51,C,730,138811,773617.57,6901284.74,0,141,51,C,300,141381,775983.93,6901639.58,0,2018,1.0,25357,18.92,4.010145504173553,49.207039784792336,4.042676151742414,49.20995306458554
101,2018-01-01,A0004,3644,141,51,C,300,141381,775983.93,6901639.58,0,144,51,C,944,145025,779551.64,6901049.71,0,2018,1.0,25357,18.92,4.042676151742414,49.20995306458554,4.091515445954079,49.20421706300719
102,2018-01-01,A0004,22846,144,51,C,944,145025,779551.64,6901049.71,0,167,51,C,790,167871,794058.36,6884715.01,0,2018,1.0,37116,17.21,4.091515445954079,49.20421706300719,4.286874913178822,49.05540595069699
103,2018-01-01,A0004,3010,167,51,C,790,167871,794058.36,6884715.01,0,170,51,C,800,170881,796703.98,6883347.36,0,2018,1.0,25358,18.48,4.286874913178822,49.05540595069699,4.322751294974057,49.04271719901225
104,2018-01-01,A0004,8812,170,51,C,800,170881,796703.98,6883347.36,0,179,51,C,612,179693,805318.36,6882588.9,0,2018,1.0,16815,18.09,4.322751294974057,49.04271719901225,4.440367543487887,49.034543241047494
105,2018-01-01,A0004,32586,179,51,C,612,179693,805318.36,6882588.9,0,212,51,C,198,212279,836733.93,6887522.39,0,2018,1.0,16378,18.08,4.440367543487887,49.034543241047494,4.871473472956669,49.0729700435569
106,2018-01-01,A0004,8902,212,51,C,198,212279,836733.93,6887522.39,0,221,51,C,100,221181,845109.02,6889911.06,0,2018,1.0,16636,19.93,4.871473472956669,49.0729700435569,4.986878606277897,49.0926013115663
107,2018-01-01,A0004,796,221,51,C,100,221181,845109.02,6889911.06,0,221,51,C,896,221977,845904.96,6889832.49,0,2018,1.0,16636,19.93,4.986878606277897,49.0926013115663,4.9977450192084625,49.09171454938809
108,2018-01-01,A0004,"0,1",221,51,C,896,221977,845904.96,6889832.49,0,221,51,C,"896,1","221977,1",845905.06,6889832.47,0,2018,1.0,16636,19.93,4.9977450192084625,49.09171454938809,4.997746380907359,49.09171434687579
109,2018-01-01,A0004,"8353,9",221,51,C,"896,1","221977,1",845905.06,6889832.47,0,230,55,C,250,230331,853674.43,6890010.37,0,2018,1.0,16636,19.93,4.997746380907359,49.09171434687579,5.104141171356549,49.091499130653574
110,2018-01-01,A0004,12985,230,55,C,250,230331,853674.43,6890010.37,0,243,55,C,235,243316,866344.3,6890899.84,0,2018,1.0,16623,19.79,5.104141171356549,49.091499130653574,5.277878256786503,49.09633294761527
111,2018-01-01,A0004,10800,243,55,C,235,243316,866344.3,6890899.84,0,254,55,C,35,254116,876224.27,6892659.83,0,2018,1.0,15816,19.83,5.277878256786503,49.09633294761527,5.41382678693301,49.10951158934364
112,2018-01-01,A0004,16303,254,55,C,35,254116,876224.27,6892659.83,0,270,55,C,338,270419,891138.71,6895050.96,0,2018,1.0,17445,19.39,5.41382678693301,49.10951158934364,5.619058939062308,49.126726571585614
113,2018-01-01,A0004,10500,270,55,C,338,270419,891138.71,6895050.96,0,280,55,C,838,280919,900304.27,6899498.07,0,2018,1.0,16733,19.52,5.619058939062308,49.126726571585614,5.746668987854799,49.163887069938845
114,2018-01-01,A0004,11973,280,55,C,838,280919,900304.27,6899498.07,0,292,54,C,811,292892,911224.18,6903727.16,0,2018,1.0,16733,19.52,5.746668987854799,49.163887069938845,5.898404857696571,49.19837560018547
115,2018-01-01,A0004,6363,292,54,C,811,292892,911224.18,6903727.16,0,299,54,C,174,299255,917316.77,6903909.26,0,2018,1.0,17643,19.01,5.898404857696571,49.19837560018547,5.982022962564002,49.19797252130791
116,2018-01-01,A0004,552,299,54,C,174,299255,917316.77,6903909.26,0,299,54,C,726,299807,917782.83,6903639.5,0,2018,1.0,17643,19.01,5.982022962564002,49.19797252130791,5.988272125405844,49.195390669371726
117,2018-01-01,A0004,12160,299,54,C,726,299807,917782.83,6903639.5,0,311,57,C,886,311967,928033.5,6905341.0,0,2018,1.0,24099,16.8,5.988272125405844,49.195390669371726,6.129706010854486,49.20710689078168
124,2018-01-01,A0004,14641,328,57,C,859,328940,938589.52,6896894.21,0,343,57,C,500,343581,952717.84,6898963.32,0,2018,1.0,36128,16.7,6.269625154574675,49.1273832662195,6.464241184101785,49.14055474089337
125,2018-01-01,A0004,1480,343,57,C,500,343581,952717.84,6898963.32,0,344,57,C,980,345061,954181.79,6898931.35,0,2018,1.0,30909,18.67,6.464241184101785,49.14055474089337,6.48426363485819,49.13968865464095
126,2018-01-01,A0004,17320,344,57,C,980,345061,954181.79,6898931.35,0,362,57,C,300,362381,970951.11,6899282.14,0,2018,1.0,30909,18.67,6.48426363485819,49.13968865464095,6.714031099281454,49.13596947823554
127,2018-01-01,A0004,7200,362,57,C,300,362381,970951.11,6899282.14,0,369,57,C,500,369581,977794.67,6899992.14,0,2018,1.0,39683,17.68,6.714031099281454,49.13596947823554,6.80816382174187,49.13941610280162
128,2018-01-01,A0004,5300,369,57,C,500,369581,977794.67,6899992.14,0,374,57,C,800,374881,981485.29,6896651.15,0,2018,1.0,21956,15.49,6.80816382174187,49.13941610280162,6.856441908913151,49.10780301080502
129,2018-01-01,A0004,6800,374,57,C,800,374881,981485.29,6896651.15,0,381,57,C,600,381681,986343.06,6892585.4,0,2018,1.0,18666,16.54,6.856441908913151,49.10780301080502,6.920123437047168,49.069141224659965
130,2018-01-01,A0004,8600,381,57,C,600,381681,986343.06,6892585.4,0,390,57,C,200,390281,994167.0,6889979.29,0,2018,1.0,17040,17.61,6.920123437047168,49.069141224659965,7.025235274657064,49.04220007841067
131,2018-01-01,A0004,2896,390,57,C,200,390281,994167.0,6889979.29,0,393,57,C,96,393177,996842.41,6889455.24,0,2018,1.0,20112,16.82,7.025235274657064,49.04220007841067,7.061411504334686,49.0362628764642
132,2018-01-01,A0004,15104,393,57,C,96,393177,996842.41,6889455.24,0,408,67,C,200,408281,1001898.89,6876294.64,0,2018,1.0,20112,16.82,7.061411504334686,49.0362628764642,7.121080645959903,48.915723860588756
133,2018-01-01,A0004,9606,408,67,C,200,408281,1001898.89,6876294.64,0,417,67,C,806,417887,1003853.0,6867371.39,0,2018,1.0,21199,16.53,7.121080645959903,48.915723860588756,7.141323959887072,48.83466736869698
134,2018-01-01,A0004,10394,417,67,C,806,417887,1003853.0,6867371.39,0,428,57,C,200,428281,1011628.84,6861189.27,0,2018,1.0,21199,16.53,7.141323959887072,48.83466736869698,7.242579446485999,48.77543518373473
135,2018-01-01,A0004,4728,428,57,C,200,428281,1011628.84,6861189.27,0,432,57,C,928,433009,1016315.3,6860893.05,0,2018,1.0,30827,21.41,7.242579446485999,48.77543518373473,7.306036691372161,48.77049444706708
136,2018-01-01,A0004,6472,432,57,C,928,433009,1016315.3,6860893.05,0,439,67,C,400,439481,1021881.23,6861062.11,0,2018,1.0,30827,21.41,7.306036691372161,48.77049444706708,7.381779811099221,48.7692601596343
137,2018-01-01,A0004,16600,439,67,C,400,439481,1021881.23,6861062.11,0,456,67,C,0,456081,1037980.18,6862002.82,0,2018,1.0,27044,22.41,7.381779811099221,48.7692601596343,7.601196804800287,48.76947559084785
138,2018-01-01,A0004,6950,456,67,C,0,456081,1037980.18,6862002.82,0,462,67,C,950,463031,1044190.47,6860022.04,0,2018,1.0,30511,20.71,7.601196804800287,48.76947559084785,7.68394830964244,48.74840916225678
141,2018-01-01,A0004,226,0,67,N,0,474781,1048610.95,6849594.05,0,0,67,N,226,475007,1048569.31,6849374.82,0,2018,1.0,108405,12.4,7.735461057076326,48.6524119746028,7.7347184322122775,48.650466033237464
142,2018-01-01,A0004,"638,5",0,67,N,226,475007,1048569.31,6849374.82,0,1,67,N,"508,5","475645,5",1048447.26,6848755.84,0,2018,1.0,108405,12.4,7.7347184322122775,48.650466033237464,7.732561248193847,48.64497418200749
143,2018-01-01,A0004,"147,5",1,67,N,"508,5","475645,5",1048447.26,6848755.84,0,1,67,N,656,475793,1048415.5,6848613.59,0,2018,1.0,108405,12.4,7.732561248193847,48.64497418200749,7.73201527811597,48.64371407035419
144,2018-01-01,A0004,1352,1,67,N,656,475793,1048415.5,6848613.59,0,3,67,N,0,477145,1047895.66,6847392.25,0,2018,1.0,108405,12.4,7.73201527811597,48.64371407035419,7.72398072202093,48.63302772599377
145,2018-01-01,A0004,1207,3,67,N,0,477145,1047895.66,6847392.25,0,4,67,N,200,478352,1048123.04,6846217.79,0,2018,1.0,102477,11.9,7.72398072202093,48.63302772599377,7.726107515847746,48.622360065308854
151,2018-01-01,A0005,310,0,77,C,0,0,673326.69,6832720.47,0,0,77,C,310,310,673608.57,6832591.47,0,2018,1.0,21186,12.9,2.6382938593905916,48.5941399118632,2.642124197503337,48.592991091095
152,2018-01-01,A0005,6422,0,77,C,310,310,673608.57,6832591.47,0,6,77,C,732,6732,679850.48,6831696.57,0,2018,1.0,21186,12.9,2.642124197503337,48.592991091095,2.726807596395724,48.58516564921585
153,2018-01-01,A0005,7259,6,77,C,732,6732,679850.48,6831696.57,0,13,77,C,991,13991,684887.85,6826591.33,0,2018,1.0,22931,12.29,2.726807596395724,48.58516564921585,2.7952846565577207,48.53937895107098
154,2018-01-01,A0005,17477,13,77,C,991,13991,684887.85,6826591.33,0,31,77,C,468,31468,695806.06,6813081.55,0,2018,1.0,21855,12.92,2.7952846565577207,48.53937895107098,2.943318431325453,48.41800677908671
