,Région d'implantation,centroid,centroid_coord,h2_kg_demand,stations_type,latitude,longitude,station_utilization_rate
165,84,10,[45.80325123  3.13062993],1451.52,medium,45.80325123,3.13062993,Util. rate = 72.58%
166,84,11,[45.806798    4.91304483],430.08,small,45.806798,4.91304483,Util. rate = 43.01%
167,84,12,[44.7177   4.54685],2419.2,large,44.7177,4.54685,Util. rate = 60.48%
168,84,13,[45.4758225   4.28877412],1469.4399999999998,medium,45.4758225,4.28877412,Util. rate = 73.47%
169,84,14,[45.78380228  5.06282396],806.4,small,45.78380228,5.06282396,Util. rate = 80.64%
170,84,15,[46.27117145  5.67691665],268.8,small,46.27117145,5.67691665,Util. rate = 26.88%
171,84,16,[44.8103125   4.80248033],1164.8,medium,44.8103125,4.80248033,Util. rate = 58.24%
172,84,17,[46.0157993   4.76216607],967.68,small,46.0157993,4.76216607,Util. rate = 96.77%
173,84,18,[45.28371637  5.54186873],770.56,small,45.28371637,5.54186873,Util. rate = 77.06%
174,84,19,[46.0437504  4.0337193],179.2,small,46.0437504,4.0337193,Util. rate = 17.92%
175,84,20,[45.8306   5.28959],1541.12,medium,45.8306,5.28959,Util. rate = 77.06%
176,84,21,[44.9285441  2.4433101],161.28,small,44.9285441,2.4433101,Util. rate = 16.13%
177,93,0,[44.03162786  4.89524472],1308.1599999999999,medium,44.03162786,4.89524472,Util. rate = 65.41%
178,93,1,[43.7846   7.18785],161.28,small,43.7846,7.18785,Util. rate = 16.13%
179,93,2,[  33.7500378 -117.8704931],197.12,small,,33.7500378-117.8704931,Util. rate = 19.71%
180,93,3,[43.4051396   5.32725932],1594.8799999999999,medium,43.4051396,5.32725932,Util. rate = 79.74%
181,93,4,[43.3973905  4.9287265],680.9599999999999,small,43.3973905,4.9287265,Util. rate = 68.1%
182,93,5,[43.68036157  5.00272753],2992.64,large,43.68036157,5.00272753,Util. rate = 74.82%
