,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand,property,nearby_total_station,new_h2_demand,new_profitability_threshold,new_profitability,exact_position,construction_year
70,0.0,na,na,-0.6234109999999999,47.4695081,na,na,0.03097163066901106,total,na,na,na,na,-0.623410999999999947.4695081,2024
71,0.0,na,na,2.8373509,50.2741645,na,na,0.03097163066901106,total,na,na,na,na,2.837350950.2741645,2024
72,0.0,na,na,0.608375,44.171244,na,na,0.03097163066901106,total,na,na,na,na,0.60837544.171244,2024
73,0.0,na,na,3.1316376,50.6136476,na,na,0.03097163066901106,total,na,na,na,na,3.131637650.6136476,2024
74,0.0,na,na,7.3935013,47.8009882,na,na,0.03097163066901106,total,na,na,na,na,7.393501347.8009882,2024
75,0.0,na,na,4.826238099999999,45.5889132,na,na,0.03097163066901106,total,na,na,na,na,4.82623809999999945.5889132,2024
76,0.0,na,na,4.8850774,46.4463275,na,na,0.03097163066901106,total,na,na,na,na,4.885077446.4463275,2024
77,0.0,na,na,1.999847,46.5826047,na,na,0.03097163066901106,total,na,na,na,na,1.99984746.5826047,2024
78,0.0,na,na,3.0540307,50.550726,na,na,0.03097163066901106,total,na,na,na,na,3.054030750.550726,2024
79,0.0,na,na,3.3918198,46.3215926,na,na,0.03097163066901106,total,na,na,na,na,3.391819846.3215926,2024
80,0.0,na,na,4.870923299999999,45.0062213,na,na,0.03097163066901106,total,na,na,na,na,4.87092329999999945.0062213,2024
81,0.0,na,na,3.074016,50.5403372,na,na,0.03097163066901106,total,na,na,na,na,3.07401650.5403372,2024
82,0.0,na,na,7.4602001,48.6345576,na,na,0.03097163066901106,total,na,na,na,na,7.460200148.6345576,2024
83,0.0,na,na,3.4678494,50.34062549999999,na,na,0.03097163066901106,total,na,na,na,na,3.467849450.34062549999999,2024
84,0.0,na,na,5.2962621,46.202994,na,na,0.03097163066901106,total,na,na,na,na,5.296262146.202994,2024
85,0.0,na,na,-1.5373537,47.1549442,na,na,0.03097163066901106,total,na,na,na,na,-1.537353747.1549442,2024
86,0.0,na,na,1.7050161,43.7590279,na,na,0.03097163066901106,total,na,na,na,na,1.705016143.7590279,2024
87,0.0,na,na,4.9124913,47.09618649999999,na,na,0.03097163066901106,total,na,na,na,na,4.912491347.09618649999999,2024
88,0.0,na,na,4.8725709,48.647244,na,na,0.03097163066901106,total,na,na,na,na,4.872570948.647244,2024
89,0.0,na,na,4.881397,44.973073,na,na,0.03097163066901106,total,na,na,na,na,4.88139744.973073,2024
90,0.0,na,na,2.4247239,44.9097055,na,na,0.03097163066901106,total,na,na,na,na,2.424723944.9097055,2024
91,0.0,na,na,2.2126219,48.9516643,na,na,0.03097163066901106,total,na,na,na,na,2.212621948.9516643,2024
92,0.0,na,na,4.904867100000001,46.5704609,na,na,0.03097163066901106,total,na,na,na,na,4.90486710000000146.5704609,2024
93,0.0,na,na,4.9996751,45.7025869,na,na,0.03097163066901106,total,na,na,na,na,4.999675145.7025869,2024
94,0.0,na,na,7.2422396,48.7693208,na,na,0.03097163066901106,total,na,na,na,na,7.242239648.7693208,2024
95,0.0,na,na,1.9221433,50.9139061,na,na,0.03097163066901106,total,na,na,na,na,1.922143350.9139061,2024
96,0.0,na,na,3.6789388,49.3107677,na,na,0.03097163066901106,total,na,na,na,na,3.678938849.3107677,2024
97,0.0,na,na,7.676082999999999,48.479709,na,na,0.03097163066901106,total,na,na,na,na,7.67608299999999948.479709,2024
98,0.0,na,na,3.2052684,50.5184703,na,na,0.03097163066901106,total,na,na,na,na,3.205268450.5184703,2024
99,0.0,na,na,5.0713989,45.8450944,na,na,0.03097163066901106,total,na,na,na,na,5.071398945.8450944,2024
100,0.0,na,na,3.3610108,48.5353115,na,na,0.03097163066901106,total,na,na,na,na,3.361010848.5353115,2024
101,0.0,na,na,2.3893198,48.7502905,na,na,0.03097163066901106,total,na,na,na,na,2.389319848.7502905,2024
102,0.0,na,na,3.9566003,49.0464276,na,na,0.03097163066901106,total,na,na,na,na,3.956600349.0464276,2024
103,0.0,na,na,2.6213908,48.9084896,na,na,0.03097163066901106,total,na,na,na,na,2.621390848.9084896,2024
104,0.0,na,na,1.2946295,45.8979718,na,na,0.03097163066901106,total,na,na,na,na,1.294629545.8979718,2024
105,0.0,na,na,4.8740859,44.02721560000001,na,na,0.03097163066901106,total,na,na,na,na,4.874085944.02721560000001,2024
106,0.0,na,na,6.314658,43.394547,na,na,0.03097163066901106,total,na,na,na,na,6.31465843.394547,2024
107,0.0,na,na,1.4481212,43.6467035,na,na,0.03097163066901106,total,na,na,na,na,1.448121243.6467035,2024
108,0.0,na,na,1.3425146,49.1573638,na,na,0.03097163066901106,total,na,na,na,na,1.342514649.1573638,2024
109,0.0,na,na,2.1179122,49.4314492,na,na,0.03097163066901106,total,na,na,na,na,2.117912249.4314492,2024
110,0.0,na,na,1.976778,49.0655925,na,na,0.03097163066901106,total,na,na,na,na,1.97677849.0655925,2024
111,0.0,na,na,1.809503,50.9380219,na,na,0.03097163066901106,total,na,na,na,na,1.80950350.9380219,2024
112,0.0,na,na,2.7475249,48.830358,na,na,0.03097163066901106,total,na,na,na,na,2.747524948.830358,2024
113,0.0,na,na,0.7287528999999999,44.39777489999999,na,na,0.03097163066901106,total,na,na,na,na,0.728752899999999944.39777489999999,2024
114,0.0,na,na,-1.5275259,47.211559,na,na,0.03097163066901106,total,na,na,na,na,-1.527525947.211559,2024
115,0.0,na,na,5.454492399999999,43.2921208,na,na,0.03097163066901106,total,na,na,na,na,5.45449239999999943.2921208,2024
116,0.0,na,na,5.197978,43.516677,na,na,0.03097163066901106,total,na,na,na,na,5.19797843.516677,2024
117,0.0,na,na,1.2917197,48.7435232,na,na,0.03097163066901106,total,na,na,na,na,1.291719748.7435232,2024
118,0.0,na,na,1.7355421,50.8618655,na,na,0.03097163066901106,total,na,na,na,na,1.735542150.8618655,2024
119,0.0,na,na,0.2938927,48.7879241,na,na,0.03097163066901106,total,na,na,na,na,0.293892748.7879241,2024
120,0.0,na,na,2.2478259,48.6026327,na,na,0.03097163066901106,total,na,na,na,na,2.247825948.6026327,2024
121,0.0,na,na,1.8829038,48.7178944,na,na,0.03097163066901106,total,na,na,na,na,1.882903848.7178944,2024
122,0.0,na,na,-3.1963793,47.7794709,na,na,0.03097163066901106,total,na,na,na,na,-3.196379347.7794709,2024
123,0.0,na,na,2.6361404,49.0334709,na,na,0.03097163066901106,total,na,na,na,na,2.636140449.0334709,2024
124,0.0,na,na,0.49375,44.829687,na,na,0.03097163066901106,total,na,na,na,na,0.4937544.829687,2024
125,0.0,na,na,0.0994557,48.4436508,na,na,0.03097163066901106,total,na,na,na,na,0.099455748.4436508,2024
126,0.0,na,na,1.0607884,47.3325305,na,na,0.03097163066901106,total,na,na,na,na,1.060788447.3325305,2024
127,0.0,na,na,1.1265159,49.4368404,na,na,0.03097163066901106,total,na,na,na,na,1.126515949.4368404,2024
128,0.0,na,na,1.5057306,43.5928012,na,na,0.03097163066901106,total,na,na,na,na,1.505730643.5928012,2024
129,0.0,na,na,-1.4702721,47.1722608,na,na,0.03097163066901106,total,na,na,na,na,-1.470272147.1722608,2024
130,0.0,na,na,2.1592059,48.90861,na,na,0.03097163066901106,total,na,na,na,na,2.159205948.90861,2024
131,0.0,na,na,1.1505118,47.3295342,na,na,0.03097163066901106,total,na,na,na,na,1.150511847.3295342,2024
132,0.0,na,na,-0.4469896,44.9206378,na,na,0.03097163066901106,total,na,na,na,na,-0.446989644.9206378,2024
133,0.0,na,na,-0.8908197999999999,46.9666846,na,na,0.03097163066901106,total,na,na,na,na,-0.890819799999999946.9666846,2024
134,0.0,na,na,7.034599699999999,43.5891537,na,na,0.03097163066901106,total,na,na,na,na,7.03459969999999943.5891537,2024
135,0.0,na,na,-0.2687784,43.7211576,na,na,0.03097163066901106,total,na,na,na,na,-0.268778443.7211576,2024
136,0.0,na,na,0.5301273,48.5279369,na,na,0.03097163066901106,total,na,na,na,na,0.530127348.5279369,2024
137,0.0,na,na,2.994999,43.178117,na,na,0.03097163066901106,total,na,na,na,na,2.99499943.178117,2024
138,0.0,na,na,7.5140481,43.7832219,na,na,0.03097163066901106,total,na,na,na,na,7.514048143.7832219,2024
139,0.0,na,na,5.3324131,47.8691225,na,na,0.03097163066901106,total,na,na,na,na,5.332413147.8691225,2024
140,0.0,na,na,5.2525374,43.368391,na,na,0.03097163066901106,total,na,na,na,na,5.252537443.368391,2024
141,0.0,na,na,-1.0247208,45.6468499,na,na,0.03097163066901106,total,na,na,na,na,-1.024720845.6468499,2024
142,0.0,na,na,6.7264719,48.5494237,na,na,0.03097163066901106,total,na,na,na,na,6.726471948.5494237,2024
143,0.0,na,na,7.778676699999999,48.8202419,na,na,0.03097163066901106,total,na,na,na,na,7.77867669999999948.8202419,2024
144,0.0,na,na,0.7856689,43.10522,na,na,0.03097163066901106,total,na,na,na,na,0.785668943.10522,2024
145,0.0,na,na,7.7399173,48.8151367,na,na,0.03097163066901106,total,na,na,na,na,7.739917348.8151367,2024
146,0.0,na,na,5.984113799999999,47.2440734,na,na,0.03097163066901106,total,na,na,na,na,5.98411379999999947.2440734,2024
147,0.0,na,na,6.439513700000001,48.1919306,na,na,0.03097163066901106,total,na,na,na,na,6.43951370000000148.1919306,2024
148,0.0,na,na,-0.7525795,48.0811994,na,na,0.03097163066901106,total,na,na,na,na,-0.752579548.0811994,2024
149,0.0,na,na,6.754982,43.437813,na,na,0.03097163066901106,total,na,na,na,na,6.75498243.437813,2024
150,0.0,na,na,1.4513895,49.1115024,na,na,0.03097163066901106,total,na,na,na,na,1.451389549.1115024,2024
151,0.0,na,na,0.0969025999999999,48.299224,na,na,0.03097163066901106,total,na,na,na,na,0.096902599999999948.299224,2024
152,0.0,na,na,2.213749,46.227638,na,na,0.03097163066901106,total,na,na,na,na,2.21374946.227638,2024
153,0.0,na,na,4.8399156,48.9182563,na,na,0.03097163066901106,total,na,na,na,na,4.839915648.9182563,2024
154,0.0,na,na,-0.5729498,47.4590727,na,na,0.03097163066901106,total,na,na,na,na,-0.572949847.4590727,2024
155,0.0,na,na,4.3293228,43.8101671,na,na,0.03097163066901106,total,na,na,na,na,4.329322843.8101671,2024
156,0.0,na,na,2.0357943,45.3966882,na,na,0.03097163066901106,total,na,na,na,na,2.035794345.3966882,2024
157,0.0,na,na,6.057349299999999,44.5410908,na,na,0.03097163066901106,total,na,na,na,na,6.05734929999999944.5410908,2024
158,0.0,na,na,-2.4451375,48.4226444,na,na,0.03097163066901106,total,na,na,na,na,-2.445137548.4226444,2024
159,0.0,na,na,5.2324421,47.2332451,na,na,0.03097163066901106,total,na,na,na,na,5.232442147.2332451,2024
160,0.0,na,na,-0.2756401,47.1964319,na,na,0.03097163066901106,total,na,na,na,na,-0.275640147.1964319,2024
161,0.0,na,na,2.18884,43.776621,na,na,0.03097163066901106,total,na,na,na,na,2.1888443.776621,2024
162,0.0,na,na,-2.6369853,47.8384799,na,na,0.03097163066901106,total,na,na,na,na,-2.636985347.8384799,2024
163,0.0,na,na,5.876002199999999,46.9474794,na,na,0.03097163066901106,total,na,na,na,na,5.87600219999999946.9474794,2024
164,0.0,na,na,0.6622703,44.1859389,na,na,0.03097163066901106,total,na,na,na,na,0.662270344.1859389,2024
165,0.0,na,na,3.2220163,43.3546182,na,na,0.03097163066901106,total,na,na,na,na,3.222016343.3546182,2024
166,0.0,na,na,2.9557295,43.4206683,na,na,0.03097163066901106,total,na,na,na,na,2.955729543.4206683,2024
167,0.0,na,na,1.1829291,43.5181624,na,na,0.03097163066901106,total,na,na,na,na,1.182929143.5181624,2024
168,0.0,na,na,4.833495999999999,44.867648,na,na,0.03097163066901106,total,na,na,na,na,4.83349599999999944.867648,2024
169,0.0,na,na,2.0290756,48.5304391,na,na,0.03097163066901106,total,na,na,na,na,2.029075648.5304391,2024
170,0.0,na,na,4.5776519,49.478191,na,na,0.03097163066901106,total,na,na,na,na,4.577651949.478191,2024
171,0.0,na,na,-0.7864355,43.4897104,na,na,0.03097163066901106,total,na,na,na,na,-0.786435543.4897104,2024
172,0.0,na,na,4.7890497,45.7214462,na,na,0.03097163066901106,total,na,na,na,na,4.789049745.7214462,2024
173,0.0,na,na,6.8173583,47.9516791,na,na,0.03097163066901106,total,na,na,na,na,6.817358347.9516791,2024
174,0.0,na,na,8.761602700000001,41.9697511,na,na,0.03097163066901106,total,na,na,na,na,8.76160270000000141.9697511,2024
175,0.0,na,na,-4.0899155,47.9999962,na,na,0.03097163066901106,total,na,na,na,na,-4.089915547.9999962,2024
176,0.0,na,na,4.5899711,48.7345686,na,na,0.03097163066901106,total,na,na,na,na,4.589971148.7345686,2024
177,0.0,na,na,-4.471039999999999,48.41611,na,na,0.03097163066901106,total,na,na,na,na,-4.47103999999999948.41611,2024
178,0.0,na,na,4.3079133,46.9532163,na,na,0.03097163066901106,total,na,na,na,na,4.307913346.9532163,2024
179,0.0,na,na,1.4689427,43.3532688,na,na,0.03097163066901106,total,na,na,na,na,1.468942743.3532688,2024
180,0.0,na,na,1.6082479,50.060969,na,na,0.03097163066901106,total,na,na,na,na,1.608247950.060969,2024
181,0.0,na,na,-0.2315568,44.440827,na,na,0.03097163066901106,total,na,na,na,na,-0.231556844.440827,2024
182,0.0,na,na,1.0761867,49.9084442,na,na,0.03097163066901106,total,na,na,na,na,1.076186749.9084442,2024
183,0.0,na,na,0.8479926,49.1225908,na,na,0.03097163066901106,total,na,na,na,na,0.847992649.1225908,2024
184,0.0,na,na,6.1619477,47.1946114,na,na,0.03097163066901106,total,na,na,na,na,6.161947747.1946114,2024
185,0.0,na,na,-0.768326,48.0684111,na,na,0.03097163066901106,total,na,na,na,na,-0.76832648.0684111,2024
186,0.0,na,na,-0.4444353,43.7907899,na,na,0.03097163066901106,total,na,na,na,na,-0.444435343.7907899,2024
187,0.0,na,na,-0.69521,44.8610473,na,na,0.03097163066901106,total,na,na,na,na,-0.6952144.8610473,2024
188,0.0,na,na,2.8046948,49.0335367,na,na,0.03097163066901106,total,na,na,na,na,2.804694849.0335367,2024
